"Timestamp","Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income level in US Dollars","How long have you been working?","If employed, what is your current job title (without the GIS)?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?"
"2019/06/07 3:59:53 PM GMT+1","Male","United States","Louisiana","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","2-5 years","Database Administrator","Public Safety","ArcGIS","ArcGIS","No","No","Vector","Access;SQL Server","No","SQLite (SpatiaLite, GeoPackage)","No",9,9
"2019/06/07 4:03:02 PM GMT+1","Male","Canada",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","Under 1 year","Developer","IT","Google Earth;GRASS;QGIS;ESA SNAP","QGIS",,"No","Raster","GDAL;Python;IntelliJ","Python;Java","PostgreSQL","No",7,7
"2019/06/07 4:06:03 PM GMT+1","Male","United States","Georgia","25 to 34","Master's Degree","Maybe","Mid level","$75,000 - $100,000","5-10 years","Planner","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","A bit","GIMP","50/50","GDAL;GIMP;SQL Server","No","SQL Server","GISP",8,8
"2019/06/07 4:09:20 PM GMT+1","Male","Ireland",,"25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Developer","Insurance","QGIS","QGIS",,"No","Vector","GDAL;PostGIS;PyCharm;Python","Python;SQL","PostgreSQL","No",10,8
"2019/06/07 4:11:32 PM GMT+1","Female","United States","Florida","25 to 34","Master's Degree","Yes","Entry level","$30,000 - $40,000","1-2 years","Specialist","Local Government","ArcGIS;QGIS","ArcGIS","No","No","Vector","Python","No","File Geodatabase (ESRI)","No",8,7
"2019/06/07 4:11:38 PM GMT+1","Female","United States","New York","18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","Under $20,000","Under 1 year","Intern","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python;SQL Server","Python;SQL;JavaScript","MySQL","No",7,6
"2019/06/07 4:12:48 PM GMT+1","Male","United States","Florida","18 to 24","Master's Degree","Yes","Entry level","$20,000 - $30,000","Under 1 year","Technician","Environmental","ArcGIS;ERDAS","ArcGIS","No","No","Vector","GDAL;Python","Python","File Geodatabase (ESRI)","No",8,7
"2019/06/07 4:13:43 PM GMT+1","Male","Canada",,"45 to 54","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","$100,000 - $150,000","11-25 years","Consultant","Natural Resources","ArcGIS;Global Mapper;Manifold;MapInfo;QGIS","ArcGIS","No","No","50/50","Access;GIMP;PostGIS;Python;SQL Server","No","PostgreSQL","P. GEO. ",6,10
"2019/06/07 4:16:27 PM GMT+1","Male","United States","Oregon","35 to 44","Master's Degree","Maybe","Part time for consultancy ","$20,000 - $30,000","11-25 years","Consultant","Water Resources Consulting ","ArcGIS;AutoCAD","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",9,3
"2019/06/07 4:17:51 PM GMT+1","Male","Ireland",,"25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","2-5 years","Analyst","Engineering","ArcGIS;AutoCAD;Google Earth;QGIS","QGIS","Primarily","Illustrator","Vector","FME;GIMP;PostGIS;Python;R","R","SQLite (SpatiaLite, GeoPackage)","No",8,10
"2019/06/07 4:20:05 PM GMT+1","Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","$75,000 - $100,000","5-10 years","Director","Non-Profit","ArcGIS;QGIS;Alteryx","QGIS","A bit","Illustrator","Vector","InDesign;Python;R;Alteryx","Python;JavaScript","File Geodatabase (ESRI)","No",6,8
"2019/06/07 4:22:06 PM GMT+1","Female","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","11-25 years","Consultant","Environmental","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",9,6
