"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","Netherlands",,"25 to 34","Master's Degree","Yes","Looking for work in current country, working part time remotely for another country","50000","2-5 years","Analyst","No","Academia","ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","Exclusively","Illustrator","50/50","InDesign;Pix4D;Python;R","Python;SQL;JavaScript","PostgreSQL","GISP","Yes","Yes","2","Yes - More than once a month","Not much difference","Yes","To some extent","7","8","haha memes go brrrr"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","100000","2-5 years","Software Engineer","No","Defense","ArcGIS","ArcGIS","Exclusively","No","Raster","GDAL;Pix4D;PostGIS;PyCharm;Python","Python;SQL;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","Yes","7","8","No"
"Male","Other",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","16000","2-5 years","Developer","No","GIS","ArcGIS;QGIS","ArcGIS","Exclusively","PhotoShop","Vector","GDAL;PostGIS;PyCharm;Python;SQL Server;Visual Studio Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","9","9","No"
"Male","United States","Illinois","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","110000","2-5 years","Analyst","No","Insurance","QGIS","QGIS","No","No","Vector","GDAL;PostGIS;Python;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","To some extent","10","10","haha memes go brrrr"
"Male","United States","Michigan","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","68500","11-25 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","Exclusively","No","Vector","SQL Server;Licity, BS&A, Geocortex","No","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","To some extent","9","10","haha memes go brrrr"
"Male","United Kingdom",,"35 to 44","Master's Degree","Yes","Mid level","48000","11-25 years","Consultant","Yes","Environmental","ArcGIS;Google Earth;GRASS;QGIS;Orfeo Toolbox","QGIS","A bit","Blender","50/50","GDAL;PyCharm;Python;R","Python","PostgreSQL","No",,,"1","No","Positively","Yes","Yes","8","8","haha memes go brrrr"
"Male","Europe",,"25 to 34","Master's Degree","Yes","Entry level","21600","1-2 years","Consultant","No","Consulting","QGIS;Python","QGIS",,"No","Vector","Python","Python","PostgreSQL","No","No","No","2","No","Not much difference","Yes","To some extent","7","7","Don't care"
"Male","United States","North Carolina","25 to 34","Master's Degree","Yes","Mid level","55000","2-5 years","Consultant","No","Environmental","ArcGIS;AutoCAD","ArcGIS","No","GIMP","Vector","GIMP","No","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Not much difference","I was, but back in the office now","To some extent","8","10","haha memes go brrrr"
"Female","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","98000","5-10 years","Supervisor ","Yes","Oil and Gas","ArcGIS","ArcGIS","A bit","Illustrator;GIMP","Vector","FME;Python;SQL Server","Python;SQL","SQL Server","GISP","Partly","No","2","No","Positively","Yes","Yes","8","7","No"
"Male","United States","Utah","25 to 34","Master's Degree","Yes","Mid level","50000","1-2 years","Specialist","Yes","Central Government","ArcGIS","ArcGIS","50/50","No","50/50",,"No","File Geodatabase (ESRI)","No",,,"1","No","Not much difference","Yes","To some extent","8","8","No"
"Female","United States","South Carolina","25 to 34","Master's Degree","Maybe","Mid level","52000","5-10 years","Researcher","No","Academia","ArcGIS","ArcGIS","Primarily","Illustrator;PhotoShop","Vector","InDesign;R;SAS;SQL Server","No","File Geodatabase (ESRI)","GISP","Yes","Yes","2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Female","Other","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","1000","Not employed.",,,,"ArcGIS;Google Earth;QGIS","ArcGIS","No","Only when the contractor asks for it. I ask friends who know how to operate these softwares for help.","50/50","GDAL;SQL Server","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","Yes - More than once a month","Not much difference","Yes","To some extent","7","8","No"
"Male","United States","New York","25 to 34","Master's Degree","Yes","Mid level","90000","5-10 years","Analyst","Yes","Local Government","ArcGIS;QGIS","ArcGIS","Exclusively","Illustrator","Vector","GDAL;PostGIS;PyCharm;Python;R;SAS;SQL Server","Python;SQL;JavaScript;SAS","PostgreSQL","GISP","Yes","No","2","No","Positively","Yes","Yes","7","5","No"
"Male","Canada",,"18 to 24","High School or equivalent",,"Student - University/College","1","Not employed.",,,,"ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","A bit","No","50/50","Access;FME;Microstation;PostGIS;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2",,"Not much difference","Yes","No","8","9","haha memes go brrrr"
"Male","United States","South Carolina","25 to 34","Master's Degree",,"Mid level","48000","5-10 years","Planner","No","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","Illustrator;PhotoShop","Vector","InDesign;SQL Server","No;I wish...","None (ShapeFiles baby)","No",,,"2","No","Not much difference","I was, but back in the office now","To some extent","8","10","Don't care"
"Male","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","42000","2-5 years","Geographer","No","IT","QGIS","QGIS",,"No","Vector","SQL Server","Python;SQL","SQL Server","No",,,"2","No","Negatively","Yes","To some extent","6","6","Don't care"
"Male","Ireland","Not United States","25 to 34","Master's Degree","Yes","Mangement","78376","5-10 years","Manager","No","Insurance","QGIS","QGIS",,"No","Vector","GDAL;PostGIS;PyCharm;Python","Python;SQL","PostgreSQL","No",,,"2","No","Positively","Yes","To some extent","10","8","Yes"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","42000","1-2 years","Technician","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","SQL Server","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a month","Negatively","I was, but back in the office now","To some extent","6","4","haha memes go brrrr"
"Male","Europe",,"18 to 24","High School or equivalent",,"Student - University/College","13000","Not employed.",,,,"ArcGIS;QGIS","ArcGIS","Primarily","InkScape;GIMP",,,"Python","File Geodatabase (ESRI)","No",,,,,"Negatively",,,"10","6","No"
"Other / Prefer not to say","Europe",,"25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","80000","5-10 years","Specialist","Yes","NGO","ArcGIS;Google Earth;GRASS;QGIS","QGIS","A bit","InkScape;GIMP","50/50","FME;GIMP;PostGIS;Python;R","Python;SQL;JavaScript","PostgreSQL","No",,,"Laptop/tablet only","Yes - More than once a week","Not much difference","Yes","To some extent","8","8","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","10000","2-5 years","Analyst","Yes","Engineering","ArcGIS;AutoCAD;ENVI;Global Mapper;Google Earth;GRASS;QGIS;Iber","QGIS","50/50","InkScape","50/50","Access;GDAL;PostGIS;PyCharm;Python;SQL Server;VS Code","Python","PostgreSQL","No",,,"2","Yes - More than once a year","Negatively","Yes","To some extent","9","10","Don't care"
"Male","United States","New York","65 to 74","Master's Degree","Yes","Mangement","50000","26 or more years","Manager","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","SQL Server","No","SQL Server","No",,,"2","No","Not much difference","No","No","10","8","Don't care"
"Male","United Kingdom","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","24735","Under 1 year","Intern","No","Utilities","ArcGIS;AutoCAD;QGIS","QGIS","No","No","Vector","GIMP;PostGIS;PyCharm;Python;R;VS Code","Python;SQL;JavaScript;R","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","7","7","No"
"Male","United States","Virginia","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","57500","2-5 years","Research Analyst","No","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Access;Python;SQL Server;VS Code","No","None (ShapeFiles baby)","No",,,"3","Yes - More than once a year","Positively","Yes","To some extent","8","7","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Senior Level","75000","5-10 years","Developer","Yes","Consulting","QGIS;Postgis, gdal/ogr","Other",,"No","Vector","FME;GDAL;PostGIS;Python;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"1","No","Negatively","Yes","To some extent","2","4","Don't care"
"Male","United States","Pennsylvania","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","55000","2-5 years","Technician","Yes","Utilities","SmallWorld","SmallWorld","No","No","Vector","FME;SQL Server","No","Oracle","No","No","No","2","Yes - Once a month","Negatively","Yes","To some extent","7","6","Yes"
"Male","United States","Pennsylvania","25 to 34","Master's Degree","Maybe","Entry level","50068","2-5 years","Planner","No","Transportation","ArcGIS;QGIS;GDAL/OGR","ArcGIS","A bit","No","Vector","GDAL;VS Code","No","Learning to love PostgreSQL","No",,,"2",,"Not much difference",,,"6","7","haha memes go brrrr"
"Male","United States","Ohio","18 to 24","High School or equivalent",,"Student - University/College","0.1","1-2 years","Research Assistant","No","Academia","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","No","Vector","R","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","Yes - Once a week","Not much difference","I was, but back in the office now","No","9","9","haha memes go brrrr"
"Male","United States","Missouri","18 to 24","Bachelor's (Undergraduate) Degree",,"Employed doing work with aerial imagery that isn't quite GIS work","35000","Under 1 year","Data Labeling","No","A.I.","None","None",,"No",,,"No","File Geodatabase (ESRI)","No",,,"3",,"Negatively","Yes","To some extent","6","8","No"
"Male","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","51000","2-5 years","Researcher","No","Research & Development","ArcGIS;QGIS","QGIS","No","No","50/50","PyCharm;Python;SQL Server;Stata","Python","SQLite (SpatiaLite, GeoPackage)","No","No","No","3","No","Positively","Yes","Yes","10","10","Don't care"
"Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","42000","Not employed.",,,,"ArcGIS","ArcGIS","Exclusively","No",,,"Not working","File Geodatabase (ESRI)","No",,,"2",,"Negatively",,,"7","7","haha memes go brrrr"
"Male","United States","California","25 to 34","Master's Degree","Yes","Mid level","57000","2-5 years","Specialist","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50","Access;PostGIS;Python;SQL Server","Python;SQL;JavaScript","Oracle","No",,,"3","Yes - More than once a year","Positively","Yes","To some extent","9","9","haha memes go brrrr"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","80000","2-5 years","Specialist","Yes","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","A bit","No","Vector","Access","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a week","Not much difference","Yes","To some extent","7","9","No"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","10000","Not employed.",,,"Environmental","ArcGIS;AutoCAD;Google Earth;GRASS;Idrisi;MapInfo;QGIS;Adobe Suites ","ArcGIS","50/50","Illustrator;PhotoShop","Raster","GDAL;InDesign;PostGIS;Python;R;SAS;SQL Server","No","SQLite (SpatiaLite, GeoPackage)","No",,,"2",,,,,"5","6","No"
"Female","United States","Oregon","25 to 34","Master's Degree","Yes","Mid level","42000","5-10 years","Analyst","Yes","Tribal","ArcGIS","ArcGIS","Primarily","No","50/50","Access;R","No","SQL Server","No",,,"1","Yes - More than once a year","Not much difference","Yes","No","9","7","No"
"Male","United States","Texas","45 to 54","Bachelor's (Undergraduate) Degree",,"Mangement","190000","11-25 years","Consultant","Yes","Civil Engineering","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","50/50","FME;Python;SQL Server","Python;SQL;C#;JavaScript","SQL Server","GISP","Yes","No","3","No","Not much difference","I was already working from home","I was already working from home","8","9","No"
"Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","50000","2-5 years","Analyst","Yes","GIS","ArcGIS;QGIS","ArcGIS","A bit","Illustrator;PhotoShop","50/50","GDAL;InDesign;PyCharm;Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","9","9","No"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","31500","5-10 years","Manager","No","Non-Profit","Google Earth;QGIS","QGIS",,"GIMP",,"GIMP;PyCharm;SQL Server","JavaScript","SQL Server","No",,,"1","No","Negatively","I was already working from home","I was already working from home","8","6","haha memes go brrrr"
"Female","United States","Tennessee","18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Looking for work","12000","Not employed.",,,,"ArcGIS","ArcGIS","Exclusively","PhotoShop;GIMP","50/50","Access;Python;R","No","File Geodatabase (ESRI)","No",,,"2",,,,,"6","5","No"
"Male","Canada",,"18 to 24","High School or equivalent",,"Student - University/College","10000","1-2 years","Technician","Yes","Environmental","ArcGIS;AutoCAD;QGIS","ArcGIS","50/50","I have used Photoshop a couple times for personal projects but never once touched it for work or university. ","Vector","PostGIS;Python;VS Code;Git, Anaconda","Python","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Negatively","Yes","Yes","7","7","Don't care"
"Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Entry level","45000","1-2 years","Technician","Yes","Utilities","ArcGIS","ArcGIS","Exclusively","GIMP","Vector",,"No","None (ShapeFiles baby)","Certificate program ","Partly","No","2","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","10","10","No"
"Male","Ireland","Not United States","25 to 34","Master's Degree","Yes","Mid level","55000","5-10 years","Analyst","Yes","Civil Engineering","ArcGIS;AutoCAD;Google Earth;QGIS","QGIS","Exclusively","Illustrator","Vector",,"No","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","8","10","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Entry level","3000","2-5 years","Specialist","No","Engineering","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","FME;PostGIS;Python;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"1","No","Not much difference","No",,"7","6",
"Male","Australia",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","90000","11-25 years","Consultant","Yes","Environmental","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","No","50/50","Python;R","Python","File Geodatabase (ESRI)","No",,,"3","Yes - Once a month","Not much difference","Yes","To some extent","9","6","haha memes go brrrr"
"Male","United States","Pennsylvania","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","40000","1-2 years","Project Manager","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","50/50","No","Vector","Python;R;SQL Server","No","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","8","8","haha memes go brrrr"
"Male","United States","Colorado","25 to 34","Master's Degree","Yes","Mid level","45000","5-10 years","Specialist","Yes","Archaeology","ArcGIS","ArcGIS","No","No","Vector","Pix4D","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","8","9","No"
"Male","United States","North Carolina","25 to 34","Master's Degree","Maybe","Mid level","54000","1-2 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python;SQL Server;VS Code","Python;SQL;JavaScript","SQL Server","No",,,"2","No","Not much difference","Yes","To some extent","8","7","No"
"Male","United States","California","55 to 64","Master's Degree","Maybe","Mid level","75000","26 or more years","Developer","No","GIS","ArcGIS","ArcGIS","Exclusively","No","Vector","FME;PyCharm;Python;SQL Server;VS Code","Python;JavaScript","File Geodatabase (ESRI)","GISP","No","No","2","No","Not much difference","Yes","To some extent","10","10","No"
"Female","United States","New York","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","95000","2-5 years","Analyst","Yes","Federal Government","ArcGIS","ArcGIS","A bit","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","10","10","Don't care"
"Male","United States","Washington","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","35000","Under 1 year","Research Assistant","No","Public Health","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","GDAL;Matlab;PostGIS;Python;R;SQL Server","Python;SQL","PostgreSQL","No",,,"2","No","Positively","Yes","Yes","7","6","haha memes go brrrr"
"Male","United States","Washington D.C","25 to 34","Master's Degree","Maybe","Mid level","104000","5-10 years","Research Analyst","No","Central Government","ArcGIS;Google Earth;SAS, SQL Developer (Oracle)","ArcGIS","50/50","Illustrator","Vector","PyCharm;Python;SAS;VS Code","Python;SQL","SQL Server","No","No","No","2","No","Not much difference","Yes","To some extent","9","8","Don't care"
"Other / Prefer not to say","United States","Michigan","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","45000","5-10 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Pix4D;SQL Server","No","SQL Server","No",,,"2","Yes - Once a month","Not much difference","Yes","To some extent","8","8","Yes"
"Male","United Kingdom",,"35 to 44","Master's Degree","Yes","Mid level","65000","11-25 years","Consultant","No","Engineering","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","QGIS",,"No","50/50","GIMP;Python","No;Python;VBA","None (ShapeFiles baby)","No","No","No","2","Yes - More than once a year","Not much difference","Yes","To some extent","9","9","No"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","51000","1-2 years","Analyst","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","InkScape;GIMP","50/50","FME;Pix4D;SQL Server","SQL","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a month","Not much difference","No","No","10","8","haha memes go brrrr"
"Male","United States","Washington","18 to 24","High School or equivalent",,"Student - University/College","20000","Not employed.",,,,"ArcGIS;Google Earth","ArcGIS","Primarily","Illustrator","Vector","InDesign","No","File Geodatabase (ESRI)","AICP Candidate",,,"1","No",,"Yes",,"7","9","haha memes go brrrr"
"Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree","N/A","Entry level","35000","2-5 years","Analyst","No","GIS","AutoCAD;Google Earth","AutoCAD",,"GIMP","50/50","Access;Matlab","C#","Oracle","GISP","No","No","2","Yes - Once a month","Negatively","No","No","7","7","No"
"Male","Canada",,"45 to 54","Master's Degree","Maybe","Mangement","100000","11-25 years","Professor ","Yes","Academia","ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector","Access;FME;PostGIS;PyCharm;Python;SQL Server;VS Code;Arcgis enterprise, arcgis online, google maps, mapbox, osm","Python;SQL;.NET;C#;JavaScript","SQL Server","No",,,"2","Yes - Once a month","Positively","Yes","Yes","9","8","Don't care"
"Male","Other","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","1","Not employed.",,"No","Education","QGIS","QGIS","No","No","Vector","Python","No","PostgreSQL","No","No","No","Laptop/tablet only","No","Negatively","Yes","To some extent","7","8","No"
"Male","United States","Michigan","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","52000","2-5 years","Developer","Yes","Consulting","ArcGIS","ArcGIS","Primarily","No","Vector","GDAL;PostGIS;Python;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","No","Positively","Yes","Yes","10","8","haha memes go brrrr"
"Male","Canada",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","25","1-2 years","Developer","Geomatics ","Central Government","ArcGIS;QGIS","ArcGIS","Exclusively","Illustrator;GIMP","50/50","GDAL;Python;SQL Server","Python;JavaScript","Personal Geodatabase (ESRI)","No","No","No","2","No","Not much difference","Yes","To some extent","9","9","haha memes go brrrr"
